Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,D96,BI,_T,_T,_T,_T,NUMBER,0,N,2010,50.0
2011,D96,BI,_T,_T,_T,_T,NUMBER,0,N,2011,50.0
2012,D96,BI,_T,_T,_T,_T,NUMBER,0,N,2012,50.0
2013,D96,BI,_T,_T,_T,_T,NUMBER,0,N,2013,50.0
2014,D96,BI,_T,_T,_T,_T,NUMBER,0,N,2014,50.0
2015,D96,BI,_T,_T,_T,_T,NUMBER,0,N,2015,50.0
2016,D96,BI,_T,_T,_T,_T,NUMBER,0,N,2016,80.0
2017,D96,BI,_T,_T,_T,_T,NUMBER,0,N,2017,80.0
2018,D96,BI,_T,_T,_T,_T,NUMBER,0,N,2018,316.09
