Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,DC_TRF_TFDV,BI,_T,_T,_T,_T,NUMBER,0,N,2010,627.61
2011,DC_TRF_TFDV,BI,_T,_T,_T,_T,NUMBER,0,N,2011,572.24
2012,DC_TRF_TFDV,BI,_T,_T,_T,_T,NUMBER,0,N,2012,524.17
2013,DC_TRF_TFDV,BI,_T,_T,_T,_T,NUMBER,0,N,2013,558.83
2014,DC_TRF_TFDV,BI,_T,_T,_T,_T,NUMBER,0,N,2014,515.4
2015,DC_TRF_TFDV,BI,_T,_T,_T,_T,NUMBER,0,N,2015,366.54
2016,DC_TRF_TFDV,BI,_T,_T,_T,_T,NUMBER,0,N,2016,742.47
