Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2015,D43,BI,_T,_T,_T,_T,NUMBER,0,N,2015,91.6
2010,D44,BI,F,_T,_T,_T,PT,0,N,2010,30.6
2011,D44,BI,F,_T,_T,_T,PT,0,N,2011,29.7
2012,D44,BI,F,_T,_T,_T,PT,0,N,2012,28.6
2013,D44,BI,F,_T,_T,_T,PT,0,N,2013,28.7
2014,D44,BI,F,_T,_T,_T,PT,0,N,2014,28.9
2015,D44,BI,F,_T,_T,_T,PT,0,N,2015,28.8
2016,D44,BI,F,_T,_T,_T,PT,0,N,2016,27.7
2017,D44,BI,F,_T,_T,_T,PT,0,N,2017,26.7
2018,D44,BI,F,_T,_T,_T,PT,0,N,2018,26.21
2010,D44,BI,M,_T,_T,_T,PT,0,N,2010,30.1
2011,D44,BI,M,_T,_T,_T,PT,0,N,2011,29.4
2012,D44,BI,M,_T,_T,_T,PT,0,N,2012,28.3
2013,D44,BI,M,_T,_T,_T,PT,0,N,2013,28.5
2014,D44,BI,M,_T,_T,_T,PT,0,N,2014,28.8
2015,D44,BI,M,_T,_T,_T,PT,0,N,2015,28.7
2016,D44,BI,M,_T,_T,_T,PT,0,N,2016,27.7
2017,D44,BI,M,_T,_T,_T,PT,0,N,2017,26.8
2018,D44,BI,M,_T,_T,_T,PT,0,N,2018,26.34
2010,D44,BI,_T,_T,_T,_T,PT,0,N,2010,30.4
2011,D44,BI,_T,_T,_T,_T,PT,0,N,2011,29.5
2012,D44,BI,_T,_T,_T,_T,PT,0,N,2012,28.5
2013,D44,BI,_T,_T,_T,_T,PT,0,N,2013,28.6
2014,D44,BI,_T,_T,_T,_T,PT,0,N,2014,28.9
2015,D44,BI,_T,_T,_T,_T,PT,0,N,2015,28.8
2016,D44,BI,_T,_T,_T,_T,PT,0,N,2016,27.7
2017,D44,BI,_T,_T,_T,_T,PT,0,N,2017,26.7
2018,D44,BI,_T,_T,_T,_T,PT,0,N,2018,26.28
2010,D45,BI,F,_T,_T,_T,PT,0,N,2010,10.8
2011,D45,BI,F,_T,_T,_T,PT,0,N,2011,11.6
2012,D45,BI,F,_T,_T,_T,PT,0,N,2012,12.1
2013,D45,BI,F,_T,_T,_T,PT,0,N,2013,12.7
2014,D45,BI,F,_T,_T,_T,PT,0,N,2014,11.3
2015,D45,BI,F,_T,_T,_T,PT,0,N,2015,9.7
2016,D45,BI,F,_T,_T,_T,PT,0,N,2016,8.8
2017,D45,BI,F,_T,_T,_T,PT,0,N,2017,9.2
2018,D45,BI,F,_T,_T,_T,PT,0,N,2018,9.2
2010,D45,BI,M,_T,_T,_T,PT,0,N,2010,10.5
2011,D45,BI,M,_T,_T,_T,PT,0,N,2011,10.6
2012,D45,BI,M,_T,_T,_T,PT,0,N,2012,10.8
2013,D45,BI,M,_T,_T,_T,PT,0,N,2013,10.8
2014,D45,BI,M,_T,_T,_T,PT,0,N,2014,9.4
2015,D45,BI,M,_T,_T,_T,PT,0,N,2015,8.0
2016,D45,BI,M,_T,_T,_T,PT,0,N,2016,7.5
2017,D45,BI,M,_T,_T,_T,PT,0,N,2017,8.0
2018,D45,BI,M,_T,_T,_T,PT,0,N,2018,8.0
2010,D45,BI,_T,_T,_T,_T,PT,0,N,2010,10.7
2011,D45,BI,_T,_T,_T,_T,PT,0,N,2011,11.1
2012,D45,BI,_T,_T,_T,_T,PT,0,N,2012,11.5
2013,D45,BI,_T,_T,_T,_T,PT,0,N,2013,11.8
2014,D45,BI,_T,_T,_T,_T,PT,0,N,2014,10.4
2015,D45,BI,_T,_T,_T,_T,PT,0,N,2015,8.9
2016,D45,BI,_T,_T,_T,_T,PT,0,N,2016,8.1
2017,D45,BI,_T,_T,_T,_T,PT,0,N,2017,8.6
2018,D45,BI,_T,_T,_T,_T,PT,0,N,2018,8.6
2010,D46,BI,F,_T,_T,_T,PT,0,N,2010,2.3
2011,D46,BI,F,_T,_T,_T,PT,0,N,2011,2.5
2012,D46,BI,F,_T,_T,_T,PT,0,N,2012,2.6
2013,D46,BI,F,_T,_T,_T,PT,0,N,2013,2.8
2014,D46,BI,F,_T,_T,_T,PT,0,N,2014,3.2
2015,D46,BI,F,_T,_T,_T,PT,0,N,2015,3.8
2016,D46,BI,F,_T,_T,_T,PT,0,N,2016,4.8
2017,D46,BI,F,_T,_T,_T,PT,0,N,2017,2.3
2018,D46,BI,F,_T,_T,_T,PT,0,N,2018,4.1
2010,D46,BI,M,_T,_T,_T,PT,0,N,2010,3.0
2011,D46,BI,M,_T,_T,_T,PT,0,N,2011,3.1
2012,D46,BI,M,_T,_T,_T,PT,0,N,2012,3.2
2013,D46,BI,M,_T,_T,_T,PT,0,N,2013,3.3
2014,D46,BI,M,_T,_T,_T,PT,0,N,2014,3.5
2015,D46,BI,M,_T,_T,_T,PT,0,N,2015,4.0
2016,D46,BI,M,_T,_T,_T,PT,0,N,2016,4.5
2017,D46,BI,M,_T,_T,_T,PT,0,N,2017,1.9
2018,D46,BI,M,_T,_T,_T,PT,0,N,2018,3.1
2010,D46,BI,_T,_T,_T,_T,PT,0,N,2010,2.6
2011,D46,BI,_T,_T,_T,_T,PT,0,N,2011,2.8
2012,D46,BI,_T,_T,_T,_T,PT,0,N,2012,2.9
2013,D46,BI,_T,_T,_T,_T,PT,0,N,2013,3.1
2014,D46,BI,_T,_T,_T,_T,PT,0,N,2014,3.4
2015,D46,BI,_T,_T,_T,_T,PT,0,N,2015,3.9
2016,D46,BI,_T,_T,_T,_T,PT,0,N,2016,4.7
2017,D46,BI,_T,_T,_T,_T,PT,0,N,2017,2.0
2018,D46,BI,_T,_T,_T,_T,PT,0,N,2018,3.6
