Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,DC_TOF_INFRAL,BI,_T,_T,_T,_T,NUMBER,0,N,2010,85.97
2011,DC_TOF_INFRAL,BI,_T,_T,_T,_T,NUMBER,0,N,2011,82.06
2012,DC_TOF_INFRAL,BI,_T,_T,_T,_T,NUMBER,0,N,2012,110.67
2013,DC_TOF_INFRAL,BI,_T,_T,_T,_T,NUMBER,0,N,2013,92.23
2014,DC_TOF_INFRAL,BI,_T,_T,_T,_T,NUMBER,0,N,2014,105.92
2015,DC_TOF_INFRAL,BI,_T,_T,_T,_T,NUMBER,0,N,2015,41.94
2016,DC_TOF_INFRAL,BI,_T,_T,_T,_T,NUMBER,0,N,2016,38.72
