Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,SH_FPL_MTMM,BI,_T,Y15T49,_T,_T,PT,0,N,2010,11.0
2017,SH_FPL_MTMM,BI,_T,Y15T49,_T,_T,PT,0,N,2017,22.9
2017,SH_FPL_MTMM,BI,_T,Y15T49,U,_T,PT,0,N,2017,28.5
2017,SH_FPL_MTMM,BI,_T,Y15T49,R,_T,PT,0,N,2017,22.3
2010,D35,BI,F,_T,_T,_T,NUMBER,0,N,2010,17.7
2017,D35,BI,F,_T,_T,_T,NUMBER,0,N,2017,22.9
2010,D35,BI,F,_T,U,_T,NUMBER,0,N,2010,28.8
2017,D35,BI,F,_T,U,_T,NUMBER,0,N,2017,28.5
2010,D35,BI,F,_T,R,_T,NUMBER,0,N,2010,16.7
2017,D35,BI,F,_T,R,_T,NUMBER,0,N,2017,22.3
