Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,D137,BI,_T,_T,_T,_T,NUMBER,0,N,2010,0.0339
2011,D137,BI,_T,_T,_T,_T,NUMBER,0,N,2011,0.0317
2012,D137,BI,_T,_T,_T,_T,NUMBER,0,N,2012,0.0299
2013,D137,BI,_T,_T,_T,_T,NUMBER,0,N,2013,0.0284
2014,D137,BI,_T,_T,_T,_T,NUMBER,0,N,2014,0.0269
2015,D137,BI,_T,_T,_T,_T,NUMBER,0,N,2015,0.0255
2016,D137,BI,_T,_T,_T,_T,NUMBER,0,N,2016,0.0251
2017,D137,BI,_T,_T,_T,_T,NUMBER,0,N,2017,0.0244
2018,D137,BI,_T,_T,_T,_T,NUMBER,0,N,2018,0.0235
