Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,SE_ACS_H2O,BI,_T,_T,_T,ISCED11_1,PT,0,N,2010,37.9
2011,SE_ACS_H2O,BI,_T,_T,_T,ISCED11_1,PT,0,N,2011,48.9
2012,SE_ACS_H2O,BI,_T,_T,_T,ISCED11_1,PT,0,N,2012,56.1
2013,SE_ACS_H2O,BI,_T,_T,_T,ISCED11_1,PT,0,N,2013,55.2
2014,SE_ACS_H2O,BI,_T,_T,_T,ISCED11_1,PT,0,N,2014,56.0
2015,SE_ACS_H2O,BI,_T,_T,_T,ISCED11_1,PT,0,N,2015,55.6
2016,SE_ACS_H2O,BI,_T,_T,_T,ISCED11_1,PT,0,N,2016,55.8
2017,SE_ACS_H2O,BI,_T,_T,_T,ISCED11_1,PT,0,N,2017,47.8
2018,SE_ACS_H2O,BI,_T,_T,_T,ISCED11_1,PT,0,N,2018,42.34
2010,SE_ACS_H2O,BI,_T,_T,_T,AGG_2_3,PT,0,N,2010,34.1
2011,SE_ACS_H2O,BI,_T,_T,_T,AGG_2_3,PT,0,N,2011,33.7
2012,SE_ACS_H2O,BI,_T,_T,_T,AGG_2_3,PT,0,N,2012,36.3
2013,SE_ACS_H2O,BI,_T,_T,_T,AGG_2_3,PT,0,N,2013,40.8
2014,SE_ACS_H2O,BI,_T,_T,_T,AGG_2_3,PT,0,N,2014,40.3
2015,SE_ACS_H2O,BI,_T,_T,_T,AGG_2_3,PT,0,N,2015,45.7
2016,SE_ACS_H2O,BI,_T,_T,_T,AGG_2_3,PT,0,N,2016,44.1
2017,SE_ACS_H2O,BI,_T,_T,_T,AGG_2_3,PT,0,N,2017,38.5
2018,SE_ACS_H2O,BI,_T,_T,_T,AGG_2_3,PT,0,N,2018,39.13
2010,SE_ACS_H2O,BI,_T,_T,_T,AGG_3_4,PT,0,N,2010,38.1
2011,SE_ACS_H2O,BI,_T,_T,_T,AGG_3_4,PT,0,N,2011,37.1
2012,SE_ACS_H2O,BI,_T,_T,_T,AGG_3_4,PT,0,N,2012,40.1
2013,SE_ACS_H2O,BI,_T,_T,_T,AGG_3_4,PT,0,N,2013,41.3
2014,SE_ACS_H2O,BI,_T,_T,_T,AGG_3_4,PT,0,N,2014,42.0
2015,SE_ACS_H2O,BI,_T,_T,_T,AGG_3_4,PT,0,N,2015,50.8
2016,SE_ACS_H2O,BI,_T,_T,_T,AGG_3_4,PT,0,N,2016,53.1
2017,SE_ACS_H2O,BI,_T,_T,_T,AGG_3_4,PT,0,N,2017,49.9
2018,SE_ACS_H2O,BI,_T,_T,_T,AGG_3_4,PT,0,N,2018,49.14
2010,SE_ACS_ELECT,BI,_T,_T,_T,ISCED11_1,PT,0,N,2010,16.0
2011,SE_ACS_ELECT,BI,_T,_T,_T,ISCED11_1,PT,0,N,2011,22.0
2012,SE_ACS_ELECT,BI,_T,_T,_T,ISCED11_1,PT,0,N,2012,21.5
2013,SE_ACS_ELECT,BI,_T,_T,_T,ISCED11_1,PT,0,N,2013,22.3
2014,SE_ACS_ELECT,BI,_T,_T,_T,ISCED11_1,PT,0,N,2014,21.6
2015,SE_ACS_ELECT,BI,_T,_T,_T,ISCED11_1,PT,0,N,2015,22.1
2016,SE_ACS_ELECT,BI,_T,_T,_T,ISCED11_1,PT,0,N,2016,22.8
2017,SE_ACS_ELECT,BI,_T,_T,_T,ISCED11_1,PT,0,N,2017,22.4
2018,SE_ACS_ELECT,BI,_T,_T,_T,ISCED11_1,PT,0,N,2018,17.7
2010,SE_ACS_ELECT,BI,_T,_T,_T,AGG_2_3,PT,0,N,2010,3.6
2011,SE_ACS_ELECT,BI,_T,_T,_T,AGG_2_3,PT,0,N,2011,4.7
2012,SE_ACS_ELECT,BI,_T,_T,_T,AGG_2_3,PT,0,N,2012,5.3
2013,SE_ACS_ELECT,BI,_T,_T,_T,AGG_2_3,PT,0,N,2013,5.5
2014,SE_ACS_ELECT,BI,_T,_T,_T,AGG_2_3,PT,0,N,2014,5.5
2015,SE_ACS_ELECT,BI,_T,_T,_T,AGG_2_3,PT,0,N,2015,6.9
2016,SE_ACS_ELECT,BI,_T,_T,_T,AGG_2_3,PT,0,N,2016,7.9
2017,SE_ACS_ELECT,BI,_T,_T,_T,AGG_2_3,PT,0,N,2017,8.5
2018,SE_ACS_ELECT,BI,_T,_T,_T,AGG_2_3,PT,0,N,2018,8.7
2010,SE_ACS_ELECT,BI,_T,_T,_T,AGG_3_4,PT,0,N,2010,23.2
2011,SE_ACS_ELECT,BI,_T,_T,_T,AGG_3_4,PT,0,N,2011,21.6
2012,SE_ACS_ELECT,BI,_T,_T,_T,AGG_3_4,PT,0,N,2012,22.8
2013,SE_ACS_ELECT,BI,_T,_T,_T,AGG_3_4,PT,0,N,2013,24.5
2014,SE_ACS_ELECT,BI,_T,_T,_T,AGG_3_4,PT,0,N,2014,24.7
2015,SE_ACS_ELECT,BI,_T,_T,_T,AGG_3_4,PT,0,N,2015,28.8
2016,SE_ACS_ELECT,BI,_T,_T,_T,AGG_3_4,PT,0,N,2016,32.9
2017,SE_ACS_ELECT,BI,_T,_T,_T,AGG_3_4,PT,0,N,2017,35.2
2018,SE_ACS_ELECT,BI,_T,_T,_T,AGG_3_4,PT,0,N,2018,34.61
