Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,D9,BI,F,_T,_T,_T,PT,0,N,2010,128.0
2011,D9,BI,F,_T,_T,_T,PT,0,N,2011,131.0
2012,D9,BI,F,_T,_T,_T,PT,0,N,2012,130.0
2013,D9,BI,F,_T,_T,_T,PT,0,N,2013,125.0
2014,D9,BI,F,_T,_T,_T,PT,0,N,2014,122.0
2015,D9,BI,F,_T,_T,_T,PT,0,N,2015,119.0
2016,D9,BI,F,_T,_T,_T,PT,0,N,2016,116.0
2017,D9,BI,F,_T,_T,_T,PT,0,N,2017,111.0
2018,D9,BI,F,_T,_T,_T,PT,0,N,2018,111.2
2010,D9,BI,M,_T,_T,_T,PT,0,N,2010,127.0
2011,D9,BI,M,_T,_T,_T,PT,0,N,2011,128.0
2012,D9,BI,M,_T,_T,_T,PT,0,N,2012,126.0
2013,D9,BI,M,_T,_T,_T,PT,0,N,2013,121.0
2014,D9,BI,M,_T,_T,_T,PT,0,N,2014,118.0
2015,D9,BI,M,_T,_T,_T,PT,0,N,2015,115.0
2016,D9,BI,M,_T,_T,_T,PT,0,N,2016,113.0
2017,D9,BI,M,_T,_T,_T,PT,0,N,2017,110.0
2018,D9,BI,M,_T,_T,_T,PT,0,N,2018,110.7
2010,D9,BI,_T,_T,_T,_T,PT,0,N,2010,127.0
2011,D9,BI,_T,_T,_T,_T,PT,0,N,2011,129.0
2012,D9,BI,_T,_T,_T,_T,PT,0,N,2012,128.0
2013,D9,BI,_T,_T,_T,_T,PT,0,N,2013,123.0
2014,D9,BI,_T,_T,_T,_T,PT,0,N,2014,120.0
2015,D9,BI,_T,_T,_T,_T,PT,0,N,2015,117.0
2016,D9,BI,_T,_T,_T,_T,PT,0,N,2016,114.0
2017,D9,BI,_T,_T,_T,_T,PT,0,N,2017,111.0
2018,D9,BI,_T,_T,_T,_T,PT,0,N,2018,111.0
2010,D10,BI,F,_T,_T,_T,PT,0,N,2010,35.0
2011,D10,BI,F,_T,_T,_T,PT,0,N,2011,41.0
2012,D10,BI,F,_T,_T,_T,PT,0,N,2012,45.0
2013,D10,BI,F,_T,_T,_T,PT,0,N,2013,53.0
2014,D10,BI,F,_T,_T,_T,PT,0,N,2014,56.0
2015,D10,BI,F,_T,_T,_T,PT,0,N,2015,62.0
2016,D10,BI,F,_T,_T,_T,PT,0,N,2016,61.0
2017,D10,BI,F,_T,_T,_T,PT,0,N,2017,70.0
2010,D10,BI,M,_T,_T,_T,PT,0,N,2010,47.0
2011,D10,BI,M,_T,_T,_T,PT,0,N,2011,54.0
2012,D10,BI,M,_T,_T,_T,PT,0,N,2012,58.0
2013,D10,BI,M,_T,_T,_T,PT,0,N,2013,65.0
2014,D10,BI,M,_T,_T,_T,PT,0,N,2014,65.0
2015,D10,BI,M,_T,_T,_T,PT,0,N,2015,68.0
2016,D10,BI,M,_T,_T,_T,PT,0,N,2016,62.0
2017,D10,BI,M,_T,_T,_T,PT,0,N,2017,68.0
2010,D10,BI,_T,_T,_T,_T,PT,0,N,2010,41.1
2011,D10,BI,_T,_T,_T,_T,PT,0,N,2011,47.3
2012,D10,BI,_T,_T,_T,_T,PT,0,N,2012,51.4
2013,D10,BI,_T,_T,_T,_T,PT,0,N,2013,59.2
2014,D10,BI,_T,_T,_T,_T,PT,0,N,2014,60.5
2015,D10,BI,_T,_T,_T,_T,PT,0,N,2015,64.7
2016,D10,BI,_T,_T,_T,_T,PT,0,N,2016,61.6
2017,D10,BI,_T,_T,_T,_T,PT,0,N,2017,71.4
