Indicator,Disaggregation combinations using this value
#1-3-1,3
#1-3-2,3
#1-4-2,3
#1-4-4,17
#1-4-6,2
#1-4-7,3
#16-1-1,1
#16-1-3,1
#16-1-4,1
#16-9-1,2
#17-19-2,2
#17-8-1,2
#2-2-1,3
#2-2-2,2
#2-2-3,2
#3-1-3,2
#3-2-1,2
#3-2-2,2
#3-3-1,2
#3-3-2,2
#3-3-7,30
#3-7-1,6
#3-7-2,3
#3-8-4,2
#4-1-1,27
#4-1-2,19
#4-1-4,25
#4-1-5,27
#4-2-1,1
#4-4-1,1
#5-1-2,9
#5-1-3,1
#5-5-1,9
#5-5-2,1
#5-b-1,2
