Disaggregation,Number of indicators,Number of values
AGE,131,11
EDUCATION_LEV,131,8
REF_AREA,131,1
REPORTING_TYPE,131,1
SERIES,131,167
SEX,131,3
TIME_DETAIL,131,9
UNIT_MEASURE,131,14
UNIT_MULT,131,1
URBANISATION,131,3
