Value,Disaggregation combinations using this value,Number of indicators
AGG_2_3,18,1
AGG_3_4,21,2
ISCED11_1,81,4
ISCED11_2,60,3
ISCED11_3,59,3
ISCED97_1,27,1
ISCED97_2,27,1
_T,1106,126
