Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,D47,BI,F,_T,_T,ISCED97_1,PT,0,N,2010,26.5
2011,D47,BI,F,_T,_T,ISCED97_1,PT,0,N,2011,30.0
2012,D47,BI,F,_T,_T,ISCED97_1,PT,0,N,2012,34.1
2013,D47,BI,F,_T,_T,ISCED97_1,PT,0,N,2013,40.0
2014,D47,BI,F,_T,_T,ISCED97_1,PT,0,N,2014,40.3
2015,D47,BI,F,_T,_T,ISCED97_1,PT,0,N,2015,39.9
2016,D47,BI,F,_T,_T,ISCED97_1,PT,0,N,2016,35.7
2017,D47,BI,F,_T,_T,ISCED97_1,PT,0,N,2017,40.3
2018,D47,BI,F,_T,_T,ISCED97_1,PT,0,N,2018,111.2
2010,D47,BI,F,_T,_T,ISCED97_2,PT,0,N,2010,8.5
2011,D47,BI,F,_T,_T,ISCED97_2,PT,0,N,2011,10.7
2012,D47,BI,F,_T,_T,ISCED97_2,PT,0,N,2012,10.7
2013,D47,BI,F,_T,_T,ISCED97_2,PT,0,N,2013,13.3
2014,D47,BI,F,_T,_T,ISCED97_2,PT,0,N,2014,15.8
2015,D47,BI,F,_T,_T,ISCED97_2,PT,0,N,2015,21.8
2016,D47,BI,F,_T,_T,ISCED97_2,PT,0,N,2016,25.1
2017,D47,BI,F,_T,_T,ISCED97_2,PT,0,N,2017,29.3
2018,D47,BI,F,_T,_T,ISCED97_2,PT,0,N,2018,51.0
2018,D47,BI,F,_T,_T,AGG_3_4,PT,0,N,2018,29.6
2010,D47,BI,M,_T,_T,ISCED97_1,PT,0,N,2010,33.5
2011,D47,BI,M,_T,_T,ISCED97_1,PT,0,N,2011,37.1
2012,D47,BI,M,_T,_T,ISCED97_1,PT,0,N,2012,39.8
2013,D47,BI,M,_T,_T,ISCED97_1,PT,0,N,2013,44.4
2014,D47,BI,M,_T,_T,ISCED97_1,PT,0,N,2014,41.9
2015,D47,BI,M,_T,_T,ISCED97_1,PT,0,N,2015,38.7
2016,D47,BI,M,_T,_T,ISCED97_1,PT,0,N,2016,32.3
2017,D47,BI,M,_T,_T,ISCED97_1,PT,0,N,2017,36.1
2018,D47,BI,M,_T,_T,ISCED97_1,PT,0,N,2018,110.7
2010,D47,BI,M,_T,_T,ISCED97_2,PT,0,N,2010,13.4
2011,D47,BI,M,_T,_T,ISCED97_2,PT,0,N,2011,16.6
2012,D47,BI,M,_T,_T,ISCED97_2,PT,0,N,2012,18.0
2013,D47,BI,M,_T,_T,ISCED97_2,PT,0,N,2013,20.4
2014,D47,BI,M,_T,_T,ISCED97_2,PT,0,N,2014,22.8
2015,D47,BI,M,_T,_T,ISCED97_2,PT,0,N,2015,28.8
2016,D47,BI,M,_T,_T,ISCED97_2,PT,0,N,2016,30.2
2017,D47,BI,M,_T,_T,ISCED97_2,PT,0,N,2017,31.6
2018,D47,BI,M,_T,_T,ISCED97_2,PT,0,N,2018,41.3
2018,D47,BI,M,_T,_T,AGG_3_4,PT,0,N,2018,29.0
2010,D47,BI,_T,_T,_T,ISCED97_1,PT,0,N,2010,30.1
2011,D47,BI,_T,_T,_T,ISCED97_1,PT,0,N,2011,33.6
2012,D47,BI,_T,_T,_T,ISCED97_1,PT,0,N,2012,37.0
2013,D47,BI,_T,_T,_T,ISCED97_1,PT,0,N,2013,42.3
2014,D47,BI,_T,_T,_T,ISCED97_1,PT,0,N,2014,41.1
2015,D47,BI,_T,_T,_T,ISCED97_1,PT,0,N,2015,39.3
2016,D47,BI,_T,_T,_T,ISCED97_1,PT,0,N,2016,33.9
2017,D47,BI,_T,_T,_T,ISCED97_1,PT,0,N,2017,44.5
2018,D47,BI,_T,_T,_T,ISCED97_1,PT,0,N,2018,111.0
2010,D47,BI,_T,_T,_T,ISCED97_2,PT,0,N,2010,11.0
2011,D47,BI,_T,_T,_T,ISCED97_2,PT,0,N,2011,13.7
2012,D47,BI,_T,_T,_T,ISCED97_2,PT,0,N,2012,14.4
2013,D47,BI,_T,_T,_T,ISCED97_2,PT,0,N,2013,16.9
2014,D47,BI,_T,_T,_T,ISCED97_2,PT,0,N,2014,19.4
2015,D47,BI,_T,_T,_T,ISCED97_2,PT,0,N,2015,25.4
2016,D47,BI,_T,_T,_T,ISCED97_2,PT,0,N,2016,27.7
2017,D47,BI,_T,_T,_T,ISCED97_2,PT,0,N,2017,26.9
2018,D47,BI,_T,_T,_T,ISCED97_2,PT,0,N,2018,46.2
2018,D47,BI,_T,_T,_T,AGG_3_4,PT,0,N,2018,29.3
