Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,D183,BI,_T,_T,_T,_T,NUMBER,0,N,2010,94.0
2011,D183,BI,_T,_T,_T,_T,NUMBER,0,N,2011,252.0
2012,D183,BI,_T,_T,_T,_T,NUMBER,0,N,2012,209.0
2013,D183,BI,_T,_T,_T,_T,NUMBER,0,N,2013,306.0
2014,D183,BI,_T,_T,_T,_T,NUMBER,0,N,2014,174.0
2015,D183,BI,_T,_T,_T,_T,NUMBER,0,N,2015,172.0
2016,D183,BI,_T,_T,_T,_T,NUMBER,0,N,2016,228.0
2017,D183,BI,_T,_T,_T,_T,NUMBER,0,N,2017,171.0
2018,D183,BI,_T,_T,_T,_T,NUMBER,0,N,2018,211.0
