Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,SH_PRV_SMOK,BI,_T,Y_GE15,_T,_T,NUMBER,0,N,2010,28.0
2012,SH_PRV_SMOK,BI,_T,Y_GE15,_T,_T,NUMBER,0,N,2012,22.0
2017,SH_PRV_SMOK,BI,_T,Y_GE15,_T,_T,NUMBER,0,N,2017,19.0
