Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,D28,BI,_T,_T,_T,_T,NUMBER,0,N,2010,59.5
2011,D28,BI,_T,_T,_T,_T,NUMBER,0,N,2011,59.5
2012,D28,BI,_T,_T,_T,_T,NUMBER,0,N,2012,58.1
2013,D28,BI,_T,_T,_T,_T,NUMBER,0,N,2013,60.0
2014,D28,BI,_T,_T,_T,_T,NUMBER,0,N,2014,58.0
2015,D28,BI,_T,_T,_T,_T,NUMBER,0,N,2015,58.0
2016,D28,BI,_T,_T,_T,_T,NUMBER,0,N,2016,60.0
2017,D28,BI,_T,_T,_T,_T,NUMBER,0,N,2017,61.0
2018,D28,BI,_T,_T,_T,_T,NUMBER,0,N,2018,61.0
