Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2014,D7,BI,_T,_T,_T,_T,PT,0,N,2014,69.1
2017,D7,BI,_T,_T,_T,_T,PT,0,N,2017,49.4
2017,D7,BI,_T,_T,U,_T,PT,0,N,2017,90.1
2017,D7,BI,_T,_T,R,_T,PT,0,N,2017,44.4
2014,SH_H2O_SAFE,BI,_T,_T,_T,_T,PT,0,N,2014,80.8
2017,SH_H2O_SAFE,BI,_T,_T,_T,_T,PT,0,N,2017,82.8
2014,SH_H2O_SAFE,BI,_T,_T,U,_T,PT,0,N,2014,97.3
2017,SH_H2O_SAFE,BI,_T,_T,U,_T,PT,0,N,2017,98.1
2014,SH_H2O_SAFE,BI,_T,_T,R,_T,PT,0,N,2014,78.9
2017,SH_H2O_SAFE,BI,_T,_T,R,_T,PT,0,N,2017,80.9
